group,logical_column_ja,same_column,rakuten_ichiba,yahoo_itemsearch_v3,keepa_product,grain,why,a_keepa_usage
REV,レビュー件数,PARTIAL,reviewCount,review.count,reviewCount / csv[17],件数の母集団が違う,並べて「人気の近似」には使える。同一列で合計してはいけない,JAN検索の並びが悪いとき、件数上位を袋数投票の重みに
REV,レビュー点,PARTIAL,reviewAverage（5点）,review.rate,rating（Keepaは×10のことがある）,スケール要換算,4.3と43を混ぜない。換算後ならPARTIAL比較可,品質フィルタ（極端に低い店を除外）
CAT,カテゴリID,NO,genreId（楽天ジャンル）,genreCategory.id（検索用ジャンル）,categoryTree / catId,3つのID空間,絶対に1列にマージしない。名前パスだけ人間向けに並列可,Aではセット数に使わない。後続メニュー8の種にはなるがYahooはSC不一致
CAT,カテゴリ名パス,PARTIAL_NAME,Ichiba単体ではIDのみ。Nav APIで名前,genreCategory.name + parentGenreCategories,categoryTree結合,名前は日本語で近い,「食品>節類」等の文字列類似は可。ID共用不可,内容量誤認の文脈（菓子の個数 vs 袋）
BRAND_ID,ブランドID,NO,なし,brand.id,なし（Keepa brandは名前）,Yahoo専用,出品のYahooブランドコード38074問題。Keepaと結合不可,Aセット数には使わない
DATE,発売日,PARTIAL,なし,releaseDate,releaseDate（Keepa分）,日付形式差,新商品ぶり40gのような判定の補助,新しいASINのランキング欠損を説明
PKG,梱包寸法重量,NO,なし,なし,packageLength/Width/Height/Weight（mm/g）,Keepaのみ,FBA・送料計算の本命。楽天Yahoo検索では取れない,Aの梱包列。セット数推定には原則使わない（4袋でも箱サイズは1）
PKG,内容個数API,PARTIAL,なし,なし,numberOfItems / packageQuantity / unitCount,Keepaのみでしかも袋数と一致しないことが多い,Amazonカタログの「アイテム数」は内容量（4P）になりやすい。楽天Yahooタイトルの「4袋セット」と衝突する,これがAのセット数ミスの主因の一つ。楽天Yahoo袋数と不一致ならKeepaアイテム数を捨てる
RANK,売れ筋,NO,なし（検索順のみ）,なし（review.countで近似。sold順なし）,sales rank 90/365 / monthlySold,Keepaのみ,モール横断の同一列にしない,Aの評価・仕入判断。セット数には直接使わない
FEE,FBA手数料,NO,なし,なし,fbaFees,Keepaのみ,後続FBA P1b,セット数推定には使わない
SEARCH,検索メタ,NO,count / page / hits,totalResultsAvailable,なし,検索単位,キャッシュヘッダに保存。商品列ではない,0件→queryフォールバック判定
FLAG,アダルト,NO,なし,isAdult,なし,Yahoo,除外フィルタ,セット投票から外す
FLAG,ふるさと納税,NO,itemName/shopに含まれることが多い（専用フラグなし）,タイトル依存,なし,テキスト派生,ベイクオフで1件目汚染の主因。フラグ列を派生でYES,袋数・価格推定から必ず除外
FLAG,選択式バリエーション,NO,タイトル「3種類から選択」,同左,KeepaはASINが1SKU,テキスト派生,価格500円の選択商品は袋数不明,投票から除外。単価推定に使うな
API,ポイント期間,NO,pointRateStartTime/EndTime,なし,なし,楽天,キャンペーン中のみ高還元,実質価格の信頼性フラグ
API,あす楽,NO,asurakuFlag 等,delivery.deadLine 粗い,なし,物流約束,セット数に使わない
API,ISBN,NO,なし,isbn,なし,書籍,食品では無視
NOTE,コードが今捨てている,YES_IF_SAVED,genreId / shopName / catchcopy / review* / itemCaption / 画像全件,janCode / point / seller / review / genre / brand / description / inStock,キャッシュは一部のみ。履歴csvやoffersは別途,保存すれば後続再検索不要,A前にraw JSON保存が前提。薄いパースのままでは本CSVのYESが死ぬ
