export_column,api_class,api_path,seen_in_this_asin,research_ok,note
新品アイテム数: 90日間の下落 %,derive,平均の比,Y,Y,
URL: Amazon,build,https://www.amazon.co.jp/dp/{asin},Y,Y,
URL: Keepa,build,https://keepa.com/#!product/5-{asin},Y,Y,
カテゴリ: ルート,yes,categoryTree[0],Y,Y,
カテゴリ: サブ,yes,categoryTree 末尾,Y,Y,
カテゴリ: ツリー,yes,categoryTree 結合,Y,Y,
ASIN,yes,asin,Y,Y,
商品コード: EAN,yes,ean / eanList,Y,Y,前回フラット化漏れ。フィールドはある
製造者,yes,manufacturer,Y,Y,
ブランド,yes,brand,Y,Y,
単位の詳細: 単位の価値,yes,unitCount 等,Y,Y,ASINによる
アイテム数,yes,numberOfItems,Y,Y,
発売日,yes,releaseDate,Y,Y,Keepa分
パッケージ: 長さ (cm),yes,packageLength /10,Y,Y,APIはmm
パッケージ: 幅 (cm),yes,packageWidth /10,Y,Y,
パッケージ: 高さ (cm),yes,packageHeight /10,Y,Y,
パッケージ: 重さ (g),yes,packageWeight,Y,Y,
パッケージ: 数量,yes,packageQuantity,Y,Y,
商品: 長さ (cm),yes,itemLength /10,Y,Y,
商品: 幅 (cm),yes,itemWidth /10,Y,Y,
商品: 高さ (cm),yes,itemHeight /10,Y,Y,
商品: 重さ (g),yes,itemWeight,Y,Y,
Buy Box: 定期おトク便,hard,sns / csv SNS系,Y,optional,コード.jsもAPI要確認
ワンタイムクーポン: 定期おトク便 %,hard,coupon,Y,optional,クーポンオブジェクト。常時あるわけではない
ビジネス割引: パーセンテージ,hard,businessDiscount,Y,optional,無いことが多い
Buy Box: % Amazon 30 日,yes,stats.buyBoxUsed/amazon 系 or csv,Y,Y,statsに比率あり
Buy Box: % Amazon 90 日,yes,stats,Y,Y,
Buy Box: % Amazon 180 日,yes,stats,Y,Y,stats期間を長く
Buy Box: % Amazon 365 日,yes,stats,Y,Y,
Buy Box: % トップセラー 30 日,yes,stats,Y,Y,
Buy Box: % トップセラー 90 日,yes,stats,Y,Y,
Buy Box: % トップセラー 180 日,yes,stats,Y,Y,
Buy Box: % トップセラー 365 日,yes,stats,Y,Y,
Buy Box: 勝者数 30 日,yes,stats,Y,Y,
Buy Box: 勝者数 90 日,yes,stats,Y,Y,
Buy Box: 勝者数 180 日,yes,stats,Y,Y,
Buy Box: 勝者数 365 日,yes,stats,Y,Y,
Buy Box: 標準偏差 30 日,yes,stats,Y,Y,
Buy Box: 標準偏差 90 日,yes,stats,Y,Y,
Buy Box: 標準偏差 365 日,yes,stats,Y,Y,
Buy Box: 変動性 30 日,yes,stats,Y,Y,flipability
Buy Box: 変動性 90 日,yes,stats,Y,Y,
Buy Box: 変動性 365 日,yes,stats,Y,Y,
