group,logical_column_ja,same_column,rakuten_ichiba,yahoo_itemsearch_v3,keepa_product,grain,why,a_keepa_usage,agent_pick,priority,effect_setcount,effect_price,effect_human,flow_A_Keepa,flow_B_Step2,flow_B_Step76,flow_CPO,flow_FBA,flow_除外フィルタ,flow_tags
PRICE,ポイント還元,PARTIAL_POINT,pointRate（％）および期間,lyLimitedBonusAmount（数）／Times（倍率）。旧point.amountは0固定。ヒット列では未配線,なし（AmazonポイントはKeepaで薄い）,楽天％ vs Yahoo数または倍率。同一列の生値を足さない,実質=price-還元は両方作れるが式が違う。同一列に生値を入れない。派生列 effective_price ならYES,楽天は既存どおり。Yahooは未使用→Aの単価推定に入れる価値大,◎使えそう,P0,中,高,中,Y,Y,N,Y,N,N,"A_Keepa,B_Step2,CPO"
PRICE,送料フラグ,PARTIAL_SHIP,postageFlag（0込1別）。送料円はほぼ無い,shipping.code（2=無料が多い）/ shipping.name,FBMはcsv送料込。FBAは送料別概念が違う,フラグの意味がモールで違う,円の送料は3者ともほぼ無い。同一「送料円」列は作れない。派生 is_postage_included はPARTIAL,code/flagで無料なら単価比較に入れる。別送料は最安から除外or要確認,◎使えそう,P0,中,高,中,Y,Y,N,Y,N,Y,"A_Keepa,B_Step2,CPO,除外フィルタ"
PRICE,実質価格（派生）,YES_DERIVED,itemPrice - pointRate換算 - 仮定送料,price - point - (code==2?0:不明),BuyBox送料込 or Amazon+送料履歴,計算式はソース別、結果の円は比較可,「お客が払う概算」として1論理列にできる。ただし送料別は欠損,Keepa袋数の価格推定の分母揃え。3モール単価の中央値をアンカーにする,◎使えそう,P0,高,高,高,Y,Y,N,Y,N,N,"A_Keepa,B_Step2,CPO"
URL,商品URL,PARTIAL_URL,itemUrl,url,https://www.amazon.co.jp/dp/{asin},URL形式が違う,列は「URL」で並べられるが中身はモール別。クリック用に並列,人間の◎確認。機械は開かない,○補助,P1,低,低,高,Y,Y,N,Y,N,N,"A_Keepa,B_Step2,CPO"
IMG,画像URL,PARTIAL_IMG,mediumImageUrls[] / smallImageUrls[],image.medium / small,images / imagesCSV→Amazon CDN,見た目比較は可、ハッシュは不可,同一ファイルではない。Vision/一致スコアの入力として並列,Keepa画像と楽天Yahoo画像の袋数Vision。Aの手間削減の本命の一つ,◎使えそう,P0,高,低,高,Y,Y,N,N,N,N,"A_Keepa,B_Step2"
SHOP,販売店,NO,shopName / shopCode / shopUrl,seller.name / sellerId / seller.url,offers[].sellerName（BuyBox時）,店のID体系が違う,「店名」文字列は並べられるが同一店判定は不可,ふるさと納税ショップ・爆買店の除外。KeepaセラーはFBA判定,◎使えそう,P0,中,低,中,Y,Y,N,N,N,Y,"A_Keepa,B_Step2,除外フィルタ"
AVAIL,在庫有無,PARTIAL,availability（取扱フラグ寄り）,inStock,availabilityAmazon / csv在庫切れ％,定義が違う,「今買えるか」の近似。数値在庫はKeepaも薄い,欠品ヒットを袋数投票から外す,○補助,P1,中,低,低,Y,Y,N,N,N,Y,"A_Keepa,B_Step2,除外フィルタ"
COND,新品/中古,PARTIAL,ほぼ新品市場（中古は別）,condition,offers / csv中古,Keepaは中古グラフあり,Yahoo中古をセット推定から除外。楽天は通常新品,中古ASINを◎にしない補助,○補助,P1,中,低,低,Y,Y,N,N,N,Y,"A_Keepa,B_Step2,除外フィルタ"
REV,レビュー件数,PARTIAL,reviewCount,review.count,reviewCount / csv[17],件数の母集団が違う,並べて「人気の近似」には使える。同一列で合計してはいけない,JAN検索の並びが悪いとき、件数上位を袋数投票の重みに,○補助,P1,中,低,中,Y,Y,Y,N,N,N,"A_Keepa,B_Step2,B_Step76"
REV,レビュー点,PARTIAL,reviewAverage（5点）,review.rate,rating（Keepaは×10のことがある）,スケール要換算,4.3と43を混ぜない。換算後ならPARTIAL比較可,品質フィルタ（極端に低い店を除外）,△後続,P2,低,低,低,N,Y,N,N,N,Y,"B_Step2,除外フィルタ"
CAT,カテゴリID,NO,genreId（楽天ジャンル）,genreCategory.id（検索用ジャンル）,categoryTree / catId,3つのID空間,絶対に1列にマージしない。名前パスだけ人間向けに並列可,Aではセット数に使わない。後続メニュー8の種にはなるがYahooはSC不一致,△後続,P2,低,低,低,N,N,Y,N,N,N,B_Step76
CAT,カテゴリ名パス,PARTIAL_NAME,Ichiba単体ではIDのみ。Nav APIで名前,genreCategory.name + parentGenreCategories,categoryTree結合,名前は日本語で近い,「食品>節類」等の文字列類似は可。ID共用不可,内容量誤認の文脈（菓子の個数 vs 袋）,△後続,P2,低,低,低,N,N,Y,N,N,N,B_Step76
BRAND_ID,ブランドID,NO,なし,brand.id,なし（Keepa brandは名前）,Yahoo専用,出品のYahooブランドコード38074問題。Keepaと結合不可,Aセット数には使わない,△後続,P2,低,低,低,N,N,Y,N,N,N,B_Step76
DATE,発売日,PARTIAL,なし,releaseDate,releaseDate（Keepa分）,日付形式差,新商品ぶり40gのような判定の補助,新しいASINのランキング欠損を説明,△後続,P2,低,低,低,Y,N,N,N,N,N,A_Keepa
PKG,梱包寸法重量,NO,なし,なし,packageLength/Width/Height/Weight（mm/g）,Keepaのみ,FBA・送料計算の本命。楽天Yahoo検索では取れない,Aの梱包列。セット数推定には原則使わない（4袋でも箱サイズは1）,K Keepa専用,P0,無,無,中,Y,N,N,N,Y,N,"A_Keepa,FBA"
PKG,内容個数API,PARTIAL,なし,なし,numberOfItems / packageQuantity / unitCount,Keepaのみでしかも袋数と一致しないことが多い,Amazonカタログの「アイテム数」は内容量（4P）になりやすい。楽天Yahooタイトルの「4袋セット」と衝突する,これがAのセット数ミスの主因の一つ。楽天Yahoo袋数と不一致ならKeepaアイテム数を捨てる,○補助,P1,高,低,高,Y,N,N,N,N,N,A_Keepa
RANK,売れ筋,NO,なし（検索順のみ）,なし（review.countで近似。sold順なし）,sales rank 90/365 / monthlySold,Keepaのみ,モール横断の同一列にしない,Aの評価・仕入判断。セット数には直接使わない,K Keepa専用,P1,無,無,中,Y,N,N,N,N,N,A_Keepa
FEE,FBA手数料,NO,なし,なし,fbaFees,Keepaのみ,後続FBA P1b,セット数推定には使わない,K Keepa専用,P1,無,無,低,N,N,N,N,Y,N,FBA
SEARCH,検索メタ,NO,count / page / hits,totalResultsAvailable,なし,検索単位,キャッシュヘッダに保存。商品列ではない,0件→queryフォールバック判定,○補助,P1,低,低,低,Y,Y,N,N,N,N,"A_Keepa,B_Step2"
FLAG,アダルト,NO,なし,isAdult,なし,Yahoo,除外フィルタ,セット投票から外す,○補助,P1,低,低,低,N,Y,N,N,N,Y,"B_Step2,除外フィルタ"
FLAG,ふるさと納税,NO,itemName/shopに含まれることが多い（専用フラグなし）,タイトル依存,なし,テキスト派生,ベイクオフで1件目汚染の主因。フラグ列を派生でYES,袋数・価格推定から必ず除外,◎使えそう,P0,高,高,高,Y,Y,N,Y,N,Y,"A_Keepa,B_Step2,CPO,除外フィルタ"
FLAG,選択式バリエーション,NO,タイトル「3種類から選択」,同左,KeepaはASINが1SKU,テキスト派生,価格500円の選択商品は袋数不明,投票から除外。単価推定に使うな,◎使えそう,P0,高,高,高,Y,Y,N,Y,N,Y,"A_Keepa,B_Step2,CPO,除外フィルタ"
API,ポイント期間,NO,pointRateStartTime/EndTime,なし,なし,楽天,キャンペーン中のみ高還元,実質価格の信頼性フラグ,○補助,P1,低,高,低,Y,Y,N,Y,N,N,"A_Keepa,B_Step2,CPO"
API,あす楽,NO,asurakuFlag 等,delivery.deadLine 粗い,なし,物流約束,セット数に使わない,,×今回使わない,P3,無,無,無,N,N,N,N,N,N,
API,ISBN,NO,なし,isbn,なし,書籍,食品では無視,,×今回使わない,P3,無,無,無,N,N,N,N,N,N,
NOTE,コードが今捨てている,YES_IF_SAVED,genreId / shopName / catchcopy / review* / itemCaption / 画像全件,janCode / point / seller / review / genre / brand / description / inStock,キャッシュは一部のみ。履歴csvやoffersは別途,保存すれば後続再検索不要,A前にraw JSON保存が前提。薄いパースのままでは本CSVのYESが死ぬ,,◎使えそう,P0,高,高,高,Y,Y,Y,Y,N,N,"A_Keepa,B_Step2,B_Step76,CPO"
